Day	Hour	ID	Name	Affiliation	Title	Abstract
18 June 2026	09:40	indrana	Indranath Sengupta	Department of Mathematics, IIT Gandhinagar 	Concatenation numerical semigroups and Rossi’s conjecture	"We exhibit a family of numerical semigroups, formed by concatenation of two numerical semigroups of arithmetic sequences, which satisfies the Rossi’s conjecture. Apery table has been explicitly calculated for this class of 
numerical semigroups in order to prove the result."
17 June 2026	11:30	patricio	Patricio Almirón	Universidad de Valladolid	Towards a Classification of Plane Curves with Constant Tjurina Number	"The Tjurina number of a plane curve is one of its most important analytical invariants. In general, given a topological type, it is difficult to determine which conditions ensure that the Tjurina number remains constant within that class.This number can be computed in terms of distances between ideals in the value semigroup of the plane curve.<br>

In this talk, I will present the main challenges in obtaining Tjurina constant families. In addition, I will present a joint work with Marcelo E. Hernandes in which we provide a family of reduced plane curves with two branches that have a constant Tjurina number within their equisingularity class, along with a closed formula for this number in terms of topological data. This constitutes the first family of non-irreducible plane curves with more than one analytical class and a constant Tjurina number."
17 June 2026	09:40	maria	Maria Alberich-Carramiñana	Universitat Politècnica de Catalunya	Limit distribution of Hodge spectral exponents of irreducible plane curve singularities	We study the asymptotic distribution of Hodge spectral exponents of irreducible plane curves, comparing it with a continuous model. We give a closed formula for the discrepancy in terms of numerical invariants and characterize families whose limiting distribution coincides with the continuous one, identifying dominant intervals.<br>This is joint work with Josep Àlvarez and Roger Gómez-López, partially supported by the Spanish State Agency project PID2023-146936NB-I00 funded by MICIU/AEI/10.13039/501100011033 and by ERDF/EU.
18 June 2026	15:00	alessios	Alessio Sammartano	Politecnico di Milano	On the the normality of certain affine semigroups	We investigate the normality of the affine subsemigroup generated by the lattice points of certain hyperplanes in $\mathbb{N}^d.$ This classical problem appears in connection with many interesting topics, from linear congruences, to ampleness of line bundles on weighted projective space, to blowup algebras and the Behrend function of zero-dimensional schemes. <br> This is a collaboration with Claudia Polini and Bernd Ulrich.
17 June 2026	10:20	julio	Julio-José Moyano-Fernández 	Universitat Jaume I	Curve singularities with one Puiseux pair and value sets of modules over their local rings	In this paper we characterize the value set $V$ of the $R$-modules of the form $R+zR$ for the local ring $R$ associated to a germ $g$ of an irreducible plane curve singularity with one Puiseux pair. In the particular case of the module of Kähler differentials attached to $g$, we recover some results of Delorme. From our characterization of V we introduce a proper subset of semimodules over the value semigroup of the ring $R.$ Moreover, we provide a geometric algorithm to construct all possible semimodules in this subset for a given value semigroup. <br>This is a join work with Maria Alberich and Patricio Almirón.
17 June 2026	16:20	biplab	Biplab Dawn	Indian institute of technology Patna	Buchsbaumness, Macaulayfication and Castelnuovo-Mumford regularity of monomial curve	Projective monomial curves are associated with rings generated by monomials of equal degree in two variables. In this talk, we see a class of non-smooth, non-Cohen-Macaulay $k$-Buchsbaum projective monomial curves for any $k ≥ 1$ and find the monomial generators for the respective Macaulayfication. Moreover, we demonstrate a general method to find the Macaulayfication of a $k$-Buchsbaum monomial curve for any $k ≥ 1$. We also discuss Castelnuovo-Mumford regularity of certain curves in terms of $k$-Buchsbaumness and reduction number.
18 June 2026	10:20	dumitru	Dumitru Stamate	University of Bucharest	Numerical semigroup tree: type-representation	"The numerical semigroups can be organized as the nodes of an infinite rooted tree, where 
the root corresponds to the set of all nonnegative integers and the more elements we remove from a numerical semigroup, the farther we get from the root.
Several conjectures circulate already about the magnitude of the growth of this tree. <br>

We suggest to refine the information by taking into account also the type of the semigroups.  We found that the number of semigroups of genus $g$ and type $t$ is constant when $t$ is close to $g$, while $g$ grows. We also study the unimodality of various sequences, as well as the behavior of the leaves in the semigroup tree. We put forward several conjectures that are supported by various computational experiments.<br>

This is joint work with Jonathan Chappelon and Jorge Ramirez Alfonsin (arXiv:2507.15006 [math.AC])."
17 June 2026	12:10	abdallah	Abdallah Assi	Larema, Angers university	Polynomial curves and their invariants	Plane polynomial curves over an algebraically closed field are plane curves parametrised by polynomials. Such curves have a unique place at infinity, which allows one  to associate a numerical semigroup with each of them. The aim of this talk is to study this class of curves through the arithmetic of numerical semigroups and their ideals, toghether with  invariants such as Milnor number and Turina number. In particular, we prove  that Turina number is at least half of Milnor number, then we investigate curves for which Turina number is close to Milnor number, as well as those for which it is close to half of Milnor number.
19 June 2026	10:20	lorenzo	Lorenzo Guerrieri	Jagiellonian University in Krakow	Ulrich ideals in numerical and good semigroups	Ulrich ideals and modules are useful objects in the study of the theory of maximal Cohen-Macaulay modules over commutative rings. We study how an analogous notion can be studied for value semigroups of curve singularities (and more in general for good semigroups), and how this relates with the study of Ulrich ideals of the corresponding rings of algebroid curves.<br> This is a joint work with Marco D'Anna, Rajesh Kumar Sau, and Vincenzo Micale.
19 June 2026	09:40	yotam	Yotam Svoray	University of Utah 	The Milnor Number of One Dimensional Local Rings	In this talk we present an analogue of the Milnor number for one dimensional local ring, and we show that it satisfies analogous properties to those of the Milnor number of plane curves over a field. In addition, we present two analogues of the semi-group of values for a one dimensional ring and show how they relate to our Milnor number. Finally, we use these tools and techniques to show we can relate these semigroups of one dimensional rings of finite Cohen-Macaulay type to those of the classical ADE singularities. Based upon arXiv:2602.11519
